HEROES,UNIT SIZE,POINTS,REGIMENT OPTIONS,NOTES,BASE SIZ,
Alchemite Warforger,1,110,Any Human Infantry,,32mm,
✹  Assassin,1,90 (-30),None,"This Hero can join an eligibleregiment as a Shadow Agent.",25mm,
✹  Battlemage,1,100 (-10),Any Human Infantry,,25mm,
"Battlemage onCelestial Hurricanum",1,240,"Any Human Infantry,Any Human Cavalry",,120 × 92m,
Battlemage on Griffon,1,280,Any Human,,120 × 92m,
Battlemage on Luminark of Hysh,1,280,"Any Human Infantry,Any Human Cavalry",,120 × 92m,
Black Ark Fleetmaster,1,110,Any Aelf,"This Hero can join an eligibleregiment as a Shadow Agent.",25mm,
Callis and Toll,2,230,"Toll’s Companions (required),Any Human Infantry",This unit cannot be reinforced.,28.5mm,
✹ Cogsmith,1,120 (-10),Any Duardin,"This Hero can join aWarden King’s regiment.",25mm,
Dreadlord on Black Dragon,1,270,"0-1 Shadow Agent, Any Aelf",,105 × 70m,
✹ F reeguild Cavalier-Marshal,1,150 (-20),"0-1 Freeguild Veteran, Any Human","This Hero can join an eligibleregiment as a Freeguild Veteran.",75 × 42mm,
"✹  Freeguild Marshal andRelic Envoy",1,110 (-20),"0-1 Freeguild Veteran, Any Human","This Hero can join an eligibleregiment as a Freeguild Veteran.","32mm [1],28.5mm [1]",
Freeguild Marshal on Griffon,1,280,"0-1 Freeguild Veteran, Any Human",,120 × 92m,
Fusil-Major on Ogor Warhulk,1,180,Any Human,"This Hero can join an eligibleregiment as a Freeguild Veteran.",50mm,
✹  Galen ven Denst,1,170 (-40),"Doralia ven Denst (required),Any Human Infantry",,28.5mm,
Doralia ven Denst,1,0,None,"This unit can only be taken inGalen ven Denst’s regiment.",28.5mm,
"✹  Pontifex Zenestra, Matriarch ofthe Great Wheel",1,200 (-40),"Any Human Infantry,Any Human Cavalry",,90 × 52mm,
Runelord,1,120,Any Duardin,,25mm,
Sorceress,1,120,"0-1 Shadow Agent, Any Aelf",,25mm,
Sorceress on Black Dragon,1,280,"0-1 Shadow Agent, Any Aelf",,105 × 70m,
✹ S team Tank Commander,1,280 (-30),Any Steam Tank,"This Hero can join an eligibleregiment as a Freeguild Veteran.",120 × 92m,
"Tahlia Vedra, Lioness of the Parch",1,310,"0-1 Freeguild Veteran, Any Human",,100mm,
✹ Warden King,1,130 (-20),"0-1 Cogsmith, Any Duardin",,25mm,
UNITS,UNIT SIZE,POINTS,RELEVANT KEY WORDS,NOTES,BASE SIZE
Black Ark Corsairs,10,120,"Aelf, Infantry",,25mm
Black Guard,10,130,"Aelf, Infantry",,25mm
Bleakswords,10,100,"Aelf, Infantry",,25mm
Celestial Hurricanum,1,180,"Human, War Machine",,120 × 92mm
Dark Riders,5,150,"Aelf, Cavalry",,60 × 35mm
Darkshards,10,140,"Aelf, Infantry",,25mm
Drakespawn Chariot,1,120,"Aelf, War Machine",,120 × 92mm
Drakespawn Knights,5,180,"Aelf, Cavalry",,60 × 35mm
Dreadspears,10,110,"Aelf, Infantry",,25mm
✹ Executioners,10,150 (+10),"Aelf, Infantry",,25mm
Flagellants,10,90,"Human, Infantry",,25mm
✹ F reeguild Cavaliers,5,160 (-10),"Human, Cavalry",,60 × 35mm
✹ F reeguild Command Corps,6,160 (-30),"Human, Infantry",This unit cannot be reinforced.,"40mm [1],32mm [1],28.5mm [4]"
Freeguild Fusiliers,10,120,"Human, Infantry",,28.5mm
✹ F reeguild Steelhelms,10,90 (-10),"Human, Infantry",,25mm
✹  Gyrobomber,1,140 (-20),"Duardin, War Machine",,50mm
Gyrocopter,1,140,"Duardin, War Machine",,50mm
✹ Hammerers,10,160 (+10),"Duardin, Infantry",,25mm
UNITS,UNIT SIZE,POINTS,RELEVANT KEY WORDS,NOTES,BASE SIZE
✹  Ironbreakers,10,140 (+10),"Duardin, Infantry",,25mm
✹  Irondrakes,10,140 (-10),"Duardin, Infantry",,25mm
✹  Ironweld Great Cannon,1,110 (-20),"Human, War Machine",,90mm
Kharibdyss,1,140,"Aelf, Monster",,120 × 92mm
✹  Longbeards,10,110 (-10),"Duardin, Infantry",,25mm
Luminark of Hysh,1,230,"Human, War Machine",,120 × 92mm
Scourgerunner Chariot,1,120,"Aelf, War Machine",,120 × 92mm
✹  Steam Tank,1,260 (-30),"Human, War Machine",,120 × 92mm
Toll’s Companions,4,0,"Unique, Human, Infantry","This unit can only be taken inCallis and Toll’s regiment.This unit cannot be reinforced.","40mm [1],28.5mm [3]"
✹ War Hydra,1,160 (-40),"Aelf, Monster",,120 × 92mm
✹  Wildercorps Hunters,11,120 (-10),"Human, Infantry",This unit cannot be reinforced.,"40mm [2],28.5mm [3],25mm [6]"
HEROES,UNIT SIZE,POINTS,REGIMENT OPTIONS,NOTES,BASE SIZE
